Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
35800355	2021-01-01	Domestic Affairs (Azerbaijan)	Interior / Home Ministry,Government,Executive	Azerbaijan	Make an appeal or request	020	3	Population (Azerbaijan)	Social,General Population / Civilian / Social	Azerbaijan	52360672	4	Turan Information Agency (Azerbaijan)	Fizuli		Fizuli Rayon	Azerbaijan	39.6009	47.1453
35800351	2021-01-01	Kabul University	Social,Education	Afghanistan	Use conventional military force	190	-10	Citizen (Afghanistan)	Social,General Population / Civilian / Social	Afghanistan	52360673	1	ITAR Tass	Kabul		Kabul	Afghanistan	34.5281	69.1723
35800365	2021-01-01	Port Said	Government,Municipal,Local,Provincial	Egypt	Praise or endorse	051	3.4	Ministry (Egypt)	Government	Egypt	52360699	5	Unknown	Port Said		Muhafazat Bur Sa`id	Egypt	31.2565	32.2841
35800361	2021-01-01	Domestic Affairs (Egypt)	Interior / Home Ministry,Executive,Government	Egypt	Make statement	010	0	Egypt		Egypt	52360700	2	Unknown			Al Mahsamah	Egypt	30.6	32.0167
35800339	2021-01-01	Presidential Candidate (Algeria)	Parties	Algeria	Praise or endorse	051	3.4	Abdelmadjid Tebboune	Elite,Executive,Executive Office,Government	Algeria	52360701	2	Unknown				Algeria	36.7525	3.04197
35800349	2021-01-01	Iran		Iran	Make statement	010	0	Atomic Energy Organization of Iran	Government,Science / Tech Ministry,Executive	Iran	52360709	5	Reuters News	Tehran		Tehran Province	Iran	35.6944	51.4215
35800340	2021-01-01	United States		United States	Threaten	130	-4.4	Militia (Iran)	Unidentified Forces	Iran	52360711	1	Dow Jones News Service	Tehran		Tehran Province	Iran	35.6944	51.4215
35800341	2021-01-01	Other Authorities / Officials (Iraq)	Government	Iraq	Threaten	130	-4.4	Militia (Iran)	Unidentified Forces	Iran	52360711	1	Dow Jones News Service	Tehran		Tehran Province	Iran	35.6944	51.4215
35800362	2021-01-01	Health Ministry (Turkey)	Health Ministry,Government,Executive	Turkey	Make statement	010	0	United Kingdom		United Kingdom	52360713	1	Associated Press Newswires	Istanbul		Istanbul	Turkey	41.0138	28.9497
35800344	2021-01-01	Russia		Russian Federation	Express intent to cooperate militarily	0312	5.2	Algeria		Algeria	52360723	3	Syrian Arab News Agency	Moscow		Moskva	Russian Federation	55.7522	37.6156
35800345	2021-01-01	Russia		Russian Federation	Express intent to cooperate militarily	0312	5.2	Lithuania		Lithuania	52360723	3	Syrian Arab News Agency	Moscow		Moskva	Russian Federation	55.7522	37.6156
35800346	2021-01-01	Russia		Russian Federation	Express intent to cooperate militarily	0312	5.2	India		India	52360723	3	Syrian Arab News Agency	Moscow		Moskva	Russian Federation	55.7522	37.6156
35800347	2021-01-01	Russia		Russian Federation	Express intent to cooperate militarily	0312	5.2	Pakistan		Pakistan	52360723	3	Syrian Arab News Agency	Moscow		Moskva	Russian Federation	55.7522	37.6156
35800348	2021-01-01	Russia		Russian Federation	Express intent to cooperate militarily	0312	5.2	Vietnam		Vietnam	52360723	3	Syrian Arab News Agency	Moscow		Moskva	Russian Federation	55.7522	37.6156
35800338	2021-01-01	Citizen (Syria)	General Population / Civilian / Social,Social	Syria	Make an appeal or request	020	3	Military Personnel - Special (Syria)	Military,Government	Syria	52360730	2	National News Agency Lebanon				Syria	33.5102	36.2913
35800350	2021-01-01	Tsai Ing-wen	Opposition Major Party (Out Of Government),Ideological,(National) Major Party,Center Left,Parties,Executive Office,Nationalist,Government,Executive,Elite	Taiwan	Make statement	010	0	Taiwan		Taiwan	52360739	4	Taipei Times				Taiwan	24.947	121.582
35800366	2021-01-01	Oversight Court (Taiwan)	Judicial,Government	Taiwan	Make statement	010	0	Intelligence Officer (China)	Intelligence Ministry,Government,Executive	China	52360743	2	Taipei Times		Taipei	Taipei	Taiwan	24.947	121.582
35800352	2021-01-01	Health Ministry (Egypt)	Executive,Health Ministry,Government	Egypt	Engage in negotiation	046	7	Media (Egypt)	Social,Media	Egypt	52360749	4	Associated Press Newswires	Arish		Muhafazat Shamal Sina'	Egypt	31.1316	33.7984
35800353	2021-01-01	Media (Egypt)	Social,Media	Egypt	Engage in negotiation	046	7	Health Ministry (Egypt)	Executive,Health Ministry,Government	Egypt	52360749	4	Associated Press Newswires	Arish		Muhafazat Shamal Sina'	Egypt	31.1316	33.7984
35800342	2021-01-01	Iran		Iran	Threaten with military force	138	-7	Military (United States)	Military,Government	United States	52360750	1	Al Ayam			Washington D.C.	United States	38.9171	-77.0003
35800360	2021-01-01	Hama Amadou	Legislative / Parliamentary,Government,Elite,Social,Ideological,Center Right,Unicameral,(National) Major Party,Parties,National Ethnic Minority,National Ethnic	Niger	Praise or endorse	051	3.4	Mahamane Elhadj Ousmane	Government,Cabinet,Executive,(National) Major Party,Parties,Agriculture / Fishing / Forestry Ministry	Niger	52360751	3	Agence France-Presse	Niamey		Niamey	Niger	13.5137	2.1098
35800367	2021-01-01	Eduardo da Costa Paes	(National) Major Party,Parties,Centrist,Local,Government,Municipal,Ideological	Brazil	Investigate crime, corruption	091	-2	Citizen (Brazil)	General Population / Civilian / Social,Social	Brazil	52360790	1	Agence France-Presse	Rio de Janeiro	Rio De Janeiro	Estado do Rio de Janeiro	Brazil	-22.9028	-43.2075
35800368	2021-01-01	Eduardo da Costa Paes	(National) Major Party,Parties,Centrist,Local,Government,Municipal,Ideological	Brazil	Investigate crime, corruption	091	-2	Brazil		Brazil	52360790	1	Agence France-Presse	Rio de Janeiro	Rio De Janeiro	Estado do Rio de Janeiro	Brazil	-22.9028	-43.2075
35800377	2021-01-01	Police (Finland)	Government,Police	Finland	Arrest, detain, or charge with legal action	173	-5	Citizen (Finland)	Social,General Population / Civilian / Social	Finland	52360794	1	Unknown	Tampere	Pirkanmaa	Province of Western Finland	Finland	61.4991	23.7871
35800379	2021-01-01	Farm Worker (Peru)	Social,Agricultural	Peru	Demonstrate or rally	141	-6.5	Unspecified Actor	Unspecified		52360830	2	Agence France-Presse				Peru	-12.0432	-77.0282
35800380	2021-01-01	Police (Peru)	Government,Police	Peru	Use conventional military force	190	-10	Citizen (Peru)	Social,General Population / Civilian / Social	Peru	52360830	4	Agence France-Presse	Lima		Provincia de Lima	Peru	-12.0432	-77.0282
35800370	2021-01-01	Head of Government (Indonesia)	Executive Office,Government,Executive	Indonesia	Demand	100	-5	Ministry (Indonesia)	Government	Indonesia	52360849	2	The Jakarta Post	Surabaya	Kotamadya Surabaya	Jawa Timur	Indonesia	-7.24917	112.751
35800378	2021-01-01	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Attacker (India)	Criminals / Gangs,Dissident	India	52360850	1	Hindustan Times	Ambala		State of Haryana	India	30.3628	76.7952
35800374	2021-01-01	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Citizen (India)	Social,General Population / Civilian / Social	India	52360853	2	Hindustan Times	Rudrapur		State of West Bengal	India	22.6303	88.1753
35800381	2021-01-01	Government (United Kingdom)	Government	United Kingdom	Yield	080	5	Other Authorities / Officials (United Kingdom)	Government	United Kingdom	52360857	2	Unknown	London	Greater London	England	United Kingdom	51.5085	-0.12574
35800382	2021-01-01	Naval (United Kingdom)	Government,Navy,Military	United Kingdom	Mobilize or increase armed forces	154	-7.2	Vietnam		Vietnam	52360884	1	South China Morning Post			South China Sea	Vietnam	15	115
35800384	2021-01-01	Cabinet / Council of Ministers / Advisors (United States)	Government,Executive,Cabinet	United States	Criticize or denounce	111	-2	Government (China)	Government	China	52360886	1	South China Morning Post	Beijing		Beijing Shi	China	39.9075	116.397
35800385	2021-01-01	United States		United States	Criticize or denounce	111	-2	China		China	52360886	6	South China Morning Post	Shenzhen	Shenzhen	Guangdong Sheng	China	22.5455	114.068
35800386	2021-01-01	European Union	International Government Organization,Regional,Regional Diplomatic IGOs		Make statement	010	0	China		China	52360889	3	South China Morning Post				China	39.9075	116.397
35800391	2021-01-01	Eduardo da Costa Paes	Municipal,Local,(National) Major Party,Parties,Centrist,Ideological,Government	Brazil	Make an appeal or request	020	3	Citizen (Brazil)	Social,General Population / Civilian / Social	Brazil	52360890	5	O Globo				Brazil	-15.8307	-47.6127
35800388	2021-01-01	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Men (India)	Social,General Population / Civilian / Social	India	52360894	1	Hindustan Times	Begampur		State of Maharashtra	India	17.5644	75.5715
35800389	2021-01-01	Police (India)	Police,Government	India	Make statement	010	0	Businessperson (India)	Business,Social	India	52360895	6	Hindustan Times	Melli Bazar			India	27.0912	88.4574
35800398	2021-01-01	Amado Boudou	(National) Major Party,Parties,Ideological,Far Left,Nationalist	Argentina	Criticize or denounce	111	-2	Alberto Fernández	(National) Major Party,Parties,Ideological,Far Left,Executive Office,Government,Executive	Argentina	52360948	6	El Clarin				Argentina	-34.6132	-58.3772
35800392	2021-01-01	Republic of Artsakh	Dissident,Separatists	Azerbaijan	Retreat or surrender militarily	0874	10	Azerbaijan		Azerbaijan	52360952	6	ITAR Tass	Nagorno-Karabakh			Azerbaijan	40	46.5833
35800408	2021-01-01	Benin		Benin	Arrest, detain, or charge with legal action	173	-5	Criminal (Benin)	Criminals / Gangs,Dissident	Benin	52360964	5	All Africa				Benin	6.48047	2.62129
35800409	2021-01-01	Criminal (Benin)	Criminals / Gangs,Dissident	Benin	Use unconventional violence	180	-9	Citizen (Benin)	Social,General Population / Civilian / Social	Benin	52360964	6	All Africa				Benin	6.48047	2.62129
35800397	2021-01-01	Head of Government (Zimbabwe)	Executive,Executive Office,Government	Zimbabwe	Make statement	010	0	Government (Zimbabwe)	Government	Zimbabwe	52360966	4	All Africa	Harare		Harare Province	Zimbabwe	-17.8277	31.0534
35800406	2021-01-01	Lazarus Chakwera	(National) Minor Party,Parties	Malawi	Make an appeal or request	020	3	Citizen (Malawi)	Social,General Population / Civilian / Social	Malawi	52360969	1	All Africa				Malawi	-13.9669	33.7873
35800407	2021-01-01	Willie Obiano	Parties,(National) Minor Party	Nigeria	Accuse	112	-2	Citizen (Nigeria)	Social,General Population / Civilian / Social	Nigeria	52361005	4	All Africa	Abuja		Federal Capital Territory	Nigeria	9.05785	7.49508
35800399	2021-01-01	Reserve Bank of Malawi	Government,Executive,Finance / Economy / Commerce / Trade Ministry	Malawi	Make a visit	042	1.9	Democratic Progressive Party	Parties,(National) Major Party,Ideological,Center Left	Malawi	52361006	2	All Africa	Blantyre	Blantyre District	Southern Region	Malawi	-15.785	35.0085
35800400	2021-01-01	Democratic Progressive Party	Parties,(National) Major Party,Ideological,Center Left	Malawi	Host a visit	043	2.8	Reserve Bank of Malawi	Government,Executive,Finance / Economy / Commerce / Trade Ministry	Malawi	52361006	2	All Africa	Blantyre	Blantyre District	Southern Region	Malawi	-15.785	35.0085
35800394	2021-01-01	Police (Malawi)	Government,Police	Malawi	fight with small arms and light weapons	193	-10	Indigenous People (Malawi)	Social,General Population / Civilian / Social	Malawi	52361008	1	All Africa	Thyolo	Thyolo District	Southern Region	Malawi	-16.0678	35.1405
35800404	2021-01-01	Armed Opposition (Afghanistan)	Rebel,Dissident	Afghanistan	fight with small arms and light weapons	193	-10	Media Personnel (Afghanistan)	Media,Social	Afghanistan	52361015	1	AAP Bulletins			Ghor	Afghanistan	34	65
35800405	2021-01-01	Armed Opposition (Afghanistan)	Rebel,Dissident	Afghanistan	fight with small arms and light weapons	193	-10	Human Rights Activist (Afghanistan)	Nongovernmental Organizations / Activists,Human Rights NGOs,Nongovernmental Organization (International),Human Rights IGOs	Afghanistan	52361015	1	AAP Bulletins			Ghor	Afghanistan	34	65
35800473	2021-01-01	Agriculture / Fishing / Forestry Ministry (India)	Agriculture / Fishing / Forestry Ministry,Government,Executive	India	Praise or endorse	051	3.4	Farm Worker (India)	Social,Agricultural	India	52361028	1	Hindustan Times	Ranchi		State of Jharkhand	India	23.3478	85.3386
35800474	2021-01-01	Government (India)	Government	India	Praise or endorse	051	3.4	Protester (India)	Dissident,Protestors / Popular Opposition / Mobs	India	52361028	4	Hindustan Times			State of Jharkhand	India	23.75	85.5
35800475	2021-01-01	Congress Party	(National) Major Party,Government Major Party (In Government),Parties	India	Praise or endorse	051	3.4	Protester (India)	Dissident,Protestors / Popular Opposition / Mobs	India	52361028	4	Hindustan Times			State of Jharkhand	India	23.75	85.5
35800415	2021-01-01	India		India	Arrest, detain, or charge with legal action	173	-5	Citizen (India)	General Population / Civilian / Social,Social	India	52361030	1	Hindustan Times	Jamshedpur		State of Jharkhand	India	22.8028	86.1854
35800416	2021-01-01	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Citizen (India)	General Population / Civilian / Social,Social	India	52361030	4	Hindustan Times	Jamshedpur		State of Jharkhand	India	22.8028	86.1854
35800458	2021-01-01	Government (India)	Government	India	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Citizen (India)	General Population / Civilian / Social,Social	India	52361031	1	Hindustan Times	Kharsawan		State of Jharkhand	India	22.7904	85.8313
35800459	2021-01-01	Hemant Soren		India	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Citizen (India)	General Population / Civilian / Social,Social	India	52361031	1	Hindustan Times	Kharsawan		State of Jharkhand	India	22.7904	85.8313
35800457	2021-01-01	Arjun Munda	Government	India	Engage in symbolic act	017	0	Citizen (India)	General Population / Civilian / Social,Social	India	52361031	2	Hindustan Times	Kharsawan		State of Jharkhand	India	22.7904	85.8313
35800448	2021-01-01	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Citizen (India)	General Population / Civilian / Social,Social	India	52361035	2	Hindustan Times	Khar		State of Himachal Pradesh	India	32.03	78.0654
35800413	2021-01-01	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Citizen (India)	General Population / Civilian / Social,Social	India	52361038	4	Hindustan Times			State of Bihar	India	25.75	85.75
